name,detail
安中散,安忠さん
茵蔯蒿湯,"【禁忌】

【慎重投与】
1)著しく体力の衰えている患者

2)下痢の傾向のある患者"
越婢加朮湯,"【禁忌】

【慎重投与】
1)著しく体力が衰えている

2)著しく胃腸虚弱

3)狭心症，心筋梗塞など循環器系の障害又は既往歴"
黄芩湯,"【禁忌】

【慎重投与】
1)アルドステロン症の患者

2)ミオパチーのある患者

3)低K血症のある患者"
黄連解毒湯,"【禁忌】

【慎重投与】
著しく体力の衰えている患者"
葛根湯加川芎辛夷,"【禁忌】

【慎重投与】
1)平常発汗しやすい

2)体質虚弱

3)著しく胃腸虚弱

4)狭心症，心筋梗塞などの循環器系の障害又は既往歴"
加味逍遙散,"【禁忌】

【慎重投与】
胃腸虚弱な患者"
甘草湯,"【禁忌】

【慎重投与】
1)アルドステロン症の患者

2)ミオパチーのある患者

3)低K血症のある患者"
芎帰膠艾湯,"【禁忌】

【慎重投与】
胃腸虚弱"
九味檳榔湯,"【禁忌】

【慎重投与】
1)下痢・軟便傾向の患者

2)妊婦又は妊娠していると思われる女性"
桂枝加朮附湯,"【禁忌】

【慎重投与】
自覚的に熱感のある患者，肥満体質の患者

【併用】
顔面紅潮，口渇を伴うものには越婢加朮湯を同量併用する"
桂枝加芍薬大黄湯,"【禁忌】

【併用】
便秘傾向の著しい場合には大黄甘草湯等を併用"
桂枝加苓朮附湯,"【禁忌】

【慎重投与】
妊婦及び妊娠している可能性のある女性"
桂枝茯苓丸,"【禁忌】

【慎重投与】
・著しく体力の衰えている患者"
桂枝茯苓丸加薏苡仁,"【禁忌】

【慎重投与】
著しく体力の虚弱なもの"
桂芍知母湯,"【禁忌】

【慎重投与】
1)胃虚弱な患者

2)妊婦又は妊娠していると思われる女性

【併用注意】
相互
1)交感神経興奮薬との併用→動悸頻脈等

2)解熱・鎮痛薬との併用→過度の発汗，時にショック

"
桂麻各半湯,"【禁忌】

【併用注意】
相互
1)交感神経興奮薬との併用→動悸頻脈等

2)解熱・鎮痛薬との併用→過度の発汗，時にショック
"
五積散,"【禁忌】

【併用注意】
相互
1)交感神経興奮薬との併用→動悸頻脈等

2)解熱・鎮痛薬との併用→過度の発汗，時にショック"
柴胡加竜骨牡蛎湯,"【禁忌】

【慎重投与】
著しく体力の衰えている患者"
柴胡桂枝湯,"【禁忌】

【併用注意】
1)気管支炎等で咽頭不快感を伴う場合には半夏厚朴湯を併用する

2)黄疸を伴う肝機能障害では茵蔯蒿湯を併用する"
柴胡桂枝乾姜湯,"【禁忌】

【併用注意】
咽喉部の不快感を伴う場合には半夏厚朴湯を併用する"
三黄瀉心湯,"【禁忌】

【慎重投与】
悪寒，下痢の傾向，著しく体力の衰えている人"
酸棗仁湯,"【禁忌】

【慎重投与】
胃腸虚弱(稀に下痢)"
三物黄芩湯,"【禁忌】

【慎重投与】
胃腸虚弱な人"
四逆散,"【禁忌】

【慎重投与】
著しく体力の衰えている患者"
四君子湯,"【禁忌】

【併用注意】
精神症状が顕著な場合には，甘麦大棗湯，又は精神安定薬や自律神経調整薬を併用"
七物降下湯,"【禁忌】

【慎重投与】
著しい胃腸虚弱"
芍薬甘草湯,"【禁忌】
1)アルドステロン症の患者

2)ミオパシーのある患者

3)低カリウム血症のある患者〔1)～3)：これらの疾患及び症状が悪化する恐れがある〕

【併用注意】
相互
フロセミド，エタクリン酸又はサイアザイド系利尿薬との併用→血清K値の低下"
十味敗毒湯,"【禁忌】

【慎重投与】
体力のない虚弱な患者"
潤腸湯,"【禁忌】

【併用注意】
便秘の著しい場合には，大黄甘草湯又は，大黄末を適宜併用する"
小柴胡湯,"【禁忌】
1)インターフェロン製剤を投与中

2)肝硬変，肝癌

3)慢性肝炎における肝機能障害で血小板数が10万/mm3以下の患者

【警告】
慢性肝炎における肝機能障害の目的で投与された患者で間質性肺炎が起こり，重篤な転帰に至ることがある→中止，加療"
小青竜湯,"【禁忌】
1)アルドステロン症
2)ミオパチー
3)低K血症

【慎重投与】
1)著しく胃腸虚弱
2)狭心症，心筋梗塞など循環器系の障害又は既往歴

【併用注意】
相互
1)フロセミド，エタクリン酸，サイアザイド系利尿薬→血清K値の低下
2)交感神経興奮薬→動悸，頻脈等
3)解熱・鎮痛薬との併用→過度の発汗，時にショック

併用
1)気管支喘息に応用する場合には，時に麻杏甘石湯を併用してよいことがある
2)気管支喘息の治療にあたっては，基礎治療薬として柴朴湯，半夏厚朴湯等を併用するとよい"
